"","treeID","nodeID","parmID","contPT","mwcpSZ"
"682",13,5,0,NA,0
"683",13,8,1,49,0
"684",13,8,0,NA,0
"685",13,9,1,50,0
"686",13,9,0,NA,0
"687",13,10,1,51,0
"688",13,10,0,NA,0
"689",13,11,1,54,0
"690",13,11,1,53,0
"691",13,11,1,52,0
"692",13,11,0,NA,0
"693",13,14,0,NA,0
"694",13,13,0,NA,0
"695",13,12,0,NA,0
"696",13,4,1,57,0
"697",13,4,0,NA,0
"698",13,15,0,NA,0
"699",13,3,1,61,0
"700",13,3,1,59,0
"701",13,3,0,NA,0
"702",13,17,1,60,0
"703",13,17,0,NA,0
"704",13,18,0,NA,0
"705",13,16,1,70,0
"706",13,16,1,63,0
"707",13,16,1,62,0
"708",13,16,0,NA,0
"709",13,21,0,NA,0
"710",13,20,1,64,0
"711",13,20,0,NA,0
"712",13,22,1,69,0
"713",13,22,1,65,0
"714",13,22,0,NA,0
"715",13,24,1,68,0
"716",13,24,1,67,0
"717",13,24,1,66,0
"718",13,24,0,NA,0
"719",13,27,0,NA,0
"720",13,26,0,NA,0
"721",13,25,0,NA,0
"722",13,23,0,NA,0
"723",13,19,1,72,0
"724",13,19,0,NA,0
"725",13,28,0,NA,0
"726",14,1,1,64,0
"727",14,1,1,35,0
"728",14,1,0,NA,0
"729",14,3,1,58,0
"730",14,3,1,49,0
"731",14,3,1,48,0
"732",14,3,1,40,0
"733",14,3,1,39,0
"734",14,3,1,38,0
"735",14,3,0,NA,0
"736",14,9,0,NA,0
"737",14,8,0,NA,0
"738",14,7,1,47,0
"739",14,7,1,46,0
"740",14,7,1,45,0
"741",14,7,1,41,0
"742",14,7,0,NA,0
"743",14,13,0,NA,0
"744",14,12,0,NA,0
"745",14,11,0,NA,0
"746",14,10,0,NA,0
"747",14,6,0,NA,0
"748",14,5,1,53,0
"749",14,5,1,51,0
"750",14,5,1,50,0
"751",14,5,0,NA,0
"752",14,16,0,NA,0
"753",14,15,1,52,0
"754",14,15,0,NA,0
"755",14,17,0,NA,0
"756",14,14,0,NA,0
"757",14,4,1,63,0
"758",14,4,1,62,0
"759",14,4,1,61,0
"760",14,4,1,60,0
"761",14,4,0,NA,0
"762",14,21,0,NA,0
"763",14,20,0,NA,0
"764",14,19,0,NA,0
"765",14,18,0,NA,0
"766",14,2,1,67,0
"767",14,2,1,65,0
"768",14,2,0,NA,0
"769",14,23,1,66,0
"770",14,23,0,NA,0
"771",14,24,0,NA,0
"772",14,22,1,68,0
"773",14,22,0,NA,0
"774",14,25,1,69,0
"775",14,25,0,NA,0
"776",14,26,1,71,0
"777",14,26,1,70,0
"778",14,26,0,NA,0
"779",14,28,0,NA,0
"780",14,27,0,NA,0
"781",15,1,1,35,0
"782",15,1,0,NA,0
"783",15,2,1,68,0
"784",15,2,1,52,0
"785",15,2,1,42,0
"786",15,2,1,41,0
